hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
0,1000,996,0.0,100.0,1000,10,900,Random,secuencial
5,995,991,0.5,99.5,1000,1,0,Random,secuencial_circular
2,998,994,0.2,99.8,1000,2,100,Random,secuencial_circular
6,994,990,0.6,99.4,1000,3,200,Random,secuencial_circular
8,992,988,0.8,99.2,1000,4,300,Random,secuencial_circular
3,997,993,0.3,99.7,1000,5,400,Random,secuencial_circular
3,997,993,0.3,99.7,1000,6,500,Random,secuencial_circular
1,999,995,0.1,99.9,1000,7,600,Random,secuencial_circular
3,997,993,0.3,99.7,1000,8,700,Random,secuencial_circular
3,997,993,0.3,99.7,1000,9,800,Random,secuencial_circular
11,989,985,1.1,98.9,1000,10,900,Random,secuencial_circular
180,820,816,18.0,82.0,1000,1,0,Random,aleatorio
206,794,790,20.6,79.4,1000,2,100,Random,aleatorio
195,805,801,19.5,80.5,1000,3,200,Random,aleatorio
205,795,791,20.5,79.5,1000,4,300,Random,aleatorio
219,781,777,21.9,78.1,1000,5,400,Random,aleatorio
174,826,822,17.4,82.6,1000,6,500,Random,aleatorio
176,824,820,17.6,82.4,1000,7,600,Random,aleatorio
180,820,816,18.0,82.0,1000,8,700,Random,aleatorio
183,817,813,18.3,81.7,1000,9,800,Random,aleatorio
198,802,798,19.8,80.2,1000,10,900,Random,aleatorio
997,3,0,99.7,0.3,1000,1,0,Random,localidad
997,3,0,99.7,0.3,1000,2,100,Random,localidad
997,3,0,99.7,0.3,1000,3,200,Random,localidad
997,3,0,99.7,0.3,1000,4,300,Random,localidad
997,3,0,99.7,0.3,1000,5,400,Random,localidad
997,3,0,99.7,0.3,1000,6,500,Random,localidad
997,3,0,99.7,0.3,1000,7,600,Random,localidad
997,3,0,99.7,0.3,1000,8,700,Random,localidad
997,3,0,99.7,0.3,1000,9,800,Random,localidad
997,3,0,99.7,0.3,1000,10,900,Random,localidad
741,259,255,74.1,25.9,1000,1,0,Random,localidad_pesada
710,290,286,71.0,29.0,1000,2,100,Random,localidad_pesada
756,244,240,75.6,24.4,1000,3,200,Random,localidad_pesada
788,212,208,78.8,21.2,1000,4,300,Random,localidad_pesada
735,265,261,73.5,26.5,1000,5,400,Random,localidad_pesada
755,245,241,75.5,24.5,1000,6,500,Random,localidad_pesada
736,264,260,73.6,26.4,1000,7,600,Random,localidad_pesada
770,230,226,77.0,23.0,1000,8,700,Random,localidad_pesada
757,243,239,75.7,24.3,1000,9,800,Random,localidad_pesada
770,230,226,77.0,23.0,1000,10,900,Random,localidad_pesada
581,419,415,58.1,41.9,1000,1,0,Random,mixto
572,428,424,57.2,42.8,1000,2,100,Random,mixto
574,426,422,57.4,42.6,1000,3,200,Random,mixto
569,431,427,56.9,43.1,1000,4,300,Random,mixto
590,410,406,59.0,41.0,1000,5,400,Random,mixto
573,427,423,57.3,42.7,1000,6,500,Random,mixto
565,435,431,56.5,43.5,1000,7,600,Random,mixto
560,440,436,56.0,44.0,1000,8,700,Random,mixto
566,434,430,56.6,43.4,1000,9,800,Random,mixto
573,427,423,57.3,42.7,1000,10,900,Random,mixto
744,256,252,74.4,25.6,1000,1,0,Random,mixto_ordenado
766,234,230,76.6,23.4,1000,2,100,Random,mixto_ordenado
765,235,231,76.5,23.5,1000,3,200,Random,mixto_ordenado
755,245,241,75.5,24.5,1000,4,300,Random,mixto_ordenado
745,255,251,74.5,25.5,1000,5,400,Random,mixto_ordenado
750,250,246,75.0,25.0,1000,6,500,Random,mixto_ordenado
751,249,245,75.1,24.9,1000,7,600,Random,mixto_ordenado
750,250,246,75.0,25.0,1000,8,700,Random,mixto_ordenado
748,252,248,74.8,25.2,1000,9,800,Random,mixto_ordenado
743,257,253,74.3,25.7,1000,10,900,Random,mixto_ordenado
879,121,117,87.9,12.1,1000,1,0,Random,estacional
858,142,138,85.8,14.2,1000,2,100,Random,estacional
898,102,98,89.8,10.2,1000,3,200,Random,estacional
869,131,127,86.9,13.1,1000,4,300,Random,estacional
874,126,122,87.4,12.6,1000,5,400,Random,estacional
885,115,111,88.5,11.5,1000,6,500,Random,estacional
891,109,105,89.1,10.9,1000,7,600,Random,estacional
859,141,137,85.9,14.1,1000,8,700,Random,estacional
879,121,117,87.9,12.1,1000,9,800,Random,estacional
901,99,95,90.1,9.9,1000,10,900,Random,estacional
176,824,820,17.6,82.4,1000,1,0,Random,repeticiones
167,833,829,16.7,83.3,1000,2,100,Random,repeticiones
175,825,821,17.5,82.5,1000,3,200,Random,repeticiones
169,831,827,16.9,83.1,1000,4,300,Random,repeticiones
184,816,812,18.4,81.6,1000,5,400,Random,repeticiones
143,857,853,14.3,85.7,1000,6,500,Random,repeticiones
157,843,839,15.7,84.3,1000,7,600,Random,repeticiones
161,839,835,16.1,83.9,1000,8,700,Random,repeticiones
141,859,855,14.1,85.9,1000,9,800,Random,repeticiones
156,844,840,15.6,84.4,1000,10,900,Random,repeticiones
176,824,820,17.6,82.4,1000,1,0,Random,uniforme
181,819,815,18.1,81.9,1000,2,100,Random,uniforme
209,791,787,20.9,79.1,1000,3,200,Random,uniforme
201,799,795,20.1,79.9,1000,4,300,Random,uniforme
191,809,805,19.1,80.9,1000,5,400,Random,uniforme
214,786,782,21.4,78.6,1000,6,500,Random,uniforme
